,Center,Author,Header,Created,Type,Full context
513,шестом,Ю. Д. Черниченко,Добрынин,1988,очерк,Семь процентов хозяйств зоны в шестьдесят шестом году получили намолот в пределах 14–-30 центнеров.
514,первом,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Мертвецы жили на первом этаже, но это были хорошие мертвецы — каждый вечер они тосковали по жизни."
515,третьем,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"На втором этаже жила одна живая душа, на третьем — одна живая кожа с дочкой Ольгой."
516,втором,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"На втором этаже жила одна живая душа, на третьем — одна живая кожа с дочкой Ольгой."
517,Вторую,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,Вторую такую полку мне не сделать.
518,третьем,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"А тот, на третьем, надо мной, у Любки, травился газом, но Любка спасла или кто-то из соседей, и только бывший учитель русской литературы Леша, влюбленный в Казакова, был педераст (вероятно, стал им) и работал на стройке, и жил в общежитии."
519,пятого,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Тот же, другой (а может быть, это все был тот же), выбросился с пятого этажа, чтобы спасти свою любовь, и что же — спас, хотя и порвал себе печень, но печень зашили, а пятый этаж в блочном доме все равно что третий, девятый — что пятый."
520,девятый,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Тот же, другой (а может быть, это все был тот же), выбросился с пятого этажа, чтобы спасти свою любовь, и что же — спас, хотя и порвал себе печень, но печень зашили, а пятый этаж в блочном доме все равно что третий, девятый — что пятый."
521,пятый,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Тот же, другой (а может быть, это все был тот же), выбросился с пятого этажа, чтобы спасти свою любовь, и что же — спас, хотя и порвал себе печень, но печень зашили, а пятый этаж в блочном доме все равно что третий, девятый — что пятый."
522,третий,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Тот же, другой (а может быть, это все был тот же), выбросился с пятого этажа, чтобы спасти свою любовь, и что же — спас, хотя и порвал себе печень, но печень зашили, а пятый этаж в блочном доме все равно что третий, девятый — что пятый."
523,пятый,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Тот же, другой (а может быть, это все был тот же), выбросился с пятого этажа, чтобы спасти свою любовь, и что же — спас, хотя и порвал себе печень, но печень зашили, а пятый этаж в блочном доме все равно что третий, девятый — что пятый."
524,второй,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,Я второй раз видел такую же ночь и такой же сон в Ленинграде на Витебском.
525,первых,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Из низких первых этажей раздавался тяжелый, мертвый храп."
526,первых,Рид Грачев,[расхождение происходило во времени],1960-1969,рассказ,"Кроме того, с первых, еще школьных лет нашей дружбы я чувствовал какое-то превосходство перед ним."
527,вторую,Сергей Транковский,Зонная пластинка Френеля,2009,статья,"Но если размер отверстия охватит и вторую зону, свет от неё придёт в противофазе, и при сложении со светом из центральной зоны волны взаимно уничтожатся."
528,четвертый,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"У вас -- в четвертый, это даже не справка о окончании начальной школы  [(((]  "
529,восьмой,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"По этой выписке можно в любой другой школе устроиться, например, в восьмой класс, и все."
530,третьего,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Я не вижу, какие плюсы вам даст бумажка об окончании третьего класса, если вы все равно не собираетесь больше показываться в школу до ГИА "
531,первую,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Я бы в первую очередь обращала внимание на то, чтобы этот аттестат был действителен в России, хотя там и говорится, что аттестат международный: Clonlara has students all over the world."
532,первую,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Письменно они ничего не хотят подтверждать именно потому, что это в первую очередь анскульная школа, и они не хотят к этому привлекать слишком много внимания и разбирательств."
533,двадцатом,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Волонтерство, видимо, на двадцатом месте, потому что они никто не волонтерили."
534,третья,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Потому что на английском одна программа, на русском другая, на -- голландском совсем третья."
535,первый,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Но детка без учебников и программ написала ФГОС по русскому, математике и окружающему миру за первый класс."
536,второй,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"В общем, я за второй путь."
537,первом,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Непонятно, какие плюсы есть в первом случае."
538,первый,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,"Лично мне (с учетом такого позитивного завуча) больше всего нравится первый путь, а меньше всего последний! "
539,третий,коллективный,Форум: Сдавать или не сдавать ― вот в чем вопрос?,2013,форум,Пусть он будет этот третий класс.
540,второй,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Подросшие и окрепшие за лето котята не хотели расставаться с учителем и просили оставить их на второй год.
541,первым,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Потом приснилось, как он догоняет этот ключ и пристраивается к нему, и вот уже рядом летят не журавли, а котята, и щенок Рыжик, и филин Филя, а самым первым в ключе летит кот Орлов."
542,первым,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Котенок Лапкин, -- сказал он, -- нарушил обещание, которое он давал перед своим первым полетом."
543,первый,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Ты знаешь, как я взлетел в первый раз? "
544,пятого,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Наконец он вздохнул и вопросительно посмотрел на пятого.
545,первый,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Я -- первый!!! 
546,Первым,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Первым уроком он был доволен.
547,первый,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Кто первый пробежит десять кругов вокруг полянки, получит первую пятерку."
548,первую,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Кто первый пробежит десять кругов вокруг полянки, получит первую пятерку."
549,Первый,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Первый урок котовоздухоплавания начался неожиданно.
550,первое,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,Жду вас завтра на первое занятие.
551,первым,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Перед первым полетом вы дадите обещание вести себя в небе хорошо и никогда не обижать птиц, а тот, кто нарушит это обещание, будет изгнан из нашей школы."
552,первыми,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Вы станете первыми котами, которые смогут парить высоко в небе, летать, а не ходить друг к другу в гости, котами, для которых слово «собака» ничего не будет значить, как бы громко она ни гавкала и как бы быстро ни бегала."
553,Первой,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Первой школы не только в их лесу, но и во всем кошачьем мире."
554,первым,Андрей Курков,Школа котовоздухоплавания,1985-1990,сказка,"Перед первым полетом, -- сказал он."
555,первому,"В. Серов, А. Ржешевский",На войсковых учениях «Юг»,1971,заметка,"Подразделения, сосредоточенные в исходных районах, по первому сигналу готовы двинуться вперед."
556,второй,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Самовыражение -- конечно, важно, но оно само собою как-то отступает на второй план."
557,девяностых,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Показывает, несомненно, восьмидесятые, самое начало девяностых."
558,восьмидесятые,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Показывает, несомненно, восьмидесятые, самое начало девяностых."
559,Второй,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,Второй ключ -- как раз от неё...
560,двадцатом,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Женщина, ходившая на собрания религиозно-философского общества, знавшая Бердяева и Розанова... в двадцатом году вместе с моим дедушкой -- Студенческое христианское движение в Москве... член мечовской общины... потом активная «непоминающая», ссылки, духовная дочь владыки Афанасия Сахарова, потом лагерь -- десять лет, двадцать лет..."
561,Восьмидесятые,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Восьмидесятые, ставшие надгробным памятником многим писателями -- и двадцать первый век, перекроивший культуру."
562,первый,Н. Б. Черных,Потому что верую: о новой книге Николая Байтова,2013,рецензия,"Восьмидесятые, ставшие надгробным памятником многим писателями -- и двадцать первый век, перекроивший культуру."
563,Второй,Семен Экштут,Новорожденная свобода,1996,статья,Записки императрицы Екатерины Второй.
564,первых,Семен Экштут,Новорожденная свобода,1996,статья,"Костенецкий был одним из первых явившихся к императору Николаю Павловичу, он сопровождал его неотлучно целый день»."
565,третьего,Семен Экштут,Новорожденная свобода,1996,статья,"Около половины третьего пополудни 14 декабря 1825 года колонна лейб-гренадер во главе с поручиком Пановым ворвалась во внутренний двор Зимнего дворца и, встретив готовый к бою лейб-гвардии Саперный батальон, развернулась и двинулась через Дворцовую площадь."
566,тысячного,Семен Экштут,Новорожденная свобода,1996,статья,Временное правление провозгласило уничтожение постоянной армии: содержание 800-тысячного войска требовало огромных издержек.
567,первое,Семен Экштут,Новорожденная свобода,1996,статья,Официально предложили ему первое место на российском Парнасе.
568,третьего,Семен Экштут,Новорожденная свобода,1996,статья,Было около половины третьего.
569,первой,Елена Родченкова,Ночные фиалки,2015,рассказ,"Не боись, не таких, как ты, в чувство приводил на первой мировой."
570,Первый,Елена Родченкова,Ночные фиалки,2015,рассказ,"Первый раз целовался, — шепнул он неловко ей на ушко и побежал к лесу."
571,третья,Елена Родченкова,Ночные фиалки,2015,рассказ,"А как третья машина мимо проползла, я повернулась и за ней бегом."
572,Вторая,Елена Родченкова,Ночные фиалки,2015,рассказ,Вторая машина проехала — тоже солдатики.
573,Первая,Елена Родченкова,Ночные фиалки,2015,рассказ,Первая машина мимо проехала.
574,первую,Елена Родченкова,Ночные фиалки,2015,рассказ,А я ему про Таньку — первую его любовь.
575,восемнадцатого,Елена Родченкова,Ночные фиалки,2015,рассказ,Его с восемнадцатого мая нет.
576,первую,Елена Родченкова,Ночные фиалки,2015,рассказ,"Старый, хромой Антон Борисыч, потерявший ногу в первую мировую, сам вызвался быть старостой деревни, а всем презиравшим его за это, отвечал в лицо: «Благо что я, а не ты."
577,первых,Елена Родченкова,Ночные фиалки,2015,рассказ,"В первых строках своего письма спешу сообщить вам, что я жив и здоров, чего и вам желаю."
578,шестая,Елена Родченкова,Ночные фиалки,2015,рассказ,Как будто — шестая.
579,второй,Елена Родченкова,Ночные фиалки,2015,рассказ,Раздался второй выстрел.
580,второй,Елена Родченкова,Ночные фиалки,2015,рассказ,предупредил его второй немец.
581,Второй,Елена Родченкова,Ночные фиалки,2015,рассказ,"Второй закинул ногу, сел на заднее сиденье."
582,первого,К. С. Баранцевич,Кляча,1909,рассказ,"Не желая нарушать обычая, помянул и я, но, улучив удобную минуту, когда после первого стаканчика поминальщики пустились в россказни и воспоминания, отошел от могилы я направился в глубь кладбища."
583,первый,К. С. Баранцевич,Кляча,1909,рассказ,"Как будто нарочно так случилось, что в первый же день приезда я попал на проводы к месту вечного успокоения знакомого лица."
584,вторая,К. С. Баранцевич,Кляча,1909,рассказ,"А главное началось после ухода священника, когда от огромного пирога с рисом осталась одна краюшка и почата была вторая четверть водки."
585,первые,К. С. Баранцевич,Кляча,1909,рассказ,"В первые дни ребенка совершенно не было слышно, но зато потом он дал себя знать."
586,Первое,К. С. Баранцевич,Кляча,1909,рассказ,"Первое дело -- скука, а потом -- житье наше уж больно плохое."
587,второй,К. С. Баранцевич,Кляча,1909,рассказ,"На второй же месяц, после довольно продолжительной экскурсии по сырой погоде, сбоку подметки я заметил предательскую трещину."
588,первого,К. С. Баранцевич,Кляча,1909,рассказ,"В исходе первого часа прибегала Лизавета Емельяновна, из печки вытаскивался горшок, и семейство садилось обедать."
589,Первая,К. С. Баранцевич,Кляча,1909,рассказ,Первая встает Таня и начинает возиться с уборкой комнаты.
590,Первое,К. С. Баранцевич,Кляча,1909,рассказ,"Первое, более близкое знакомство мое с ним произошло при следующих обстоятельствах: у меня изорвалась одна из моих гамбургских ботинок, и я зашел в комнату хозяев с целью отдать починить."
591,втором,К. С. Баранцевич,Кляча,1909,рассказ,"Направо из ворот, во втором этаже."
592,первого,В. Ф. Одоевский,Игоша,1833,сказка,"Вот я смотрю -- няня на ту минуту вышла -- вдруг дверь отворилась; я по своему обыкновению хотел было вскочить, но невольно присел, когда увидел, что ко мне в комнату вошел, припрыгивая, маленький человечек в крестьянской рубашке, подстриженный в кружок; глаза у него горели, как угольки, и голова на шейке у него беспрестанно вертелась; с самого первого взгляда я заметил в нем что-то странное, посмотрел на него пристальнее и увидел, что у бедняжки не было ни рук, ни ног, а прыгал он всем туловищем."
593,первое,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Но великому Судіи всего свѣта вѣдома каждая степень человѣческаго исправленія и прихожденія въ совершеннѣйшей градусъ доброй обыкновенности, также и изъ слабыхъ движеній и склонностей не учинившихся еще обыкновенными намѣреніями и предпріятіями, онъ видитъ первое несовершенное основаніе добродѣтели въ душѣ нашей, и зритъ на все ея растѣніе бодрственнымъ окомъ, пока она получитъ полную и всевозможную пріятность, и явится во всей своей красотѣ и совершенствѣ."
594,первыхъ,,О славѣ (перевод с нем.),1759,перевод | рассуждение,И такъ во первыхъ никакая тварь не можетъ о насъ разсуждать правильно и насъ почитать по достоинству.
595,первое,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"По моему мнѣнію можно намъ изъ вышепредложеннаго заключить весьма натурально, что превеликое безуміе есть, искать похвалы у какого ни есть существа, кромѣ творца самаго для слѣдующихъ двухъ причинъ: первое, что никакое другое существо праведно судить и по заслугамъ нашимъ ублажить насъ не можетъ, второе, что отъ почтенія и прославленія другихъ существъ нельзя намъ получить никакой особливой пользы и выгоды."
596,второе,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"По моему мнѣнію можно намъ изъ вышепредложеннаго заключить весьма натурально, что превеликое безуміе есть, искать похвалы у какого ни есть существа, кромѣ творца самаго для слѣдующихъ двухъ причинъ: первое, что никакое другое существо праведно судить и по заслугамъ нашимъ ублажить насъ не можетъ, второе, что отъ почтенія и прославленія другихъ существъ нельзя намъ получить никакой особливой пользы и выгоды."
597,перваго,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"А третіе, хотя мы не споримъ, что нѣкоторыя дѣйствія суть настоящими способами отчасти къ прірбрѣтенію намъ славы, а отчасти къ учиненію насъ благополучными; однако они къ сему предѣлу насъ не доводятъ, когда происходятъ отъ желанія къ полученію перваго."
598,Второе,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Второе, многія дѣла способствующія намъ къ снисканію славы не доводятъ насъ по ихъ состоянію къ совѣршеннейшему благополучію."
599,Первое,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Первое, сильное желаніе чести производитъ въ душѣ разныя грѣховныя привычки."
600,Второе,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Второе, что она честолюбивымъ людемъ доставляетъ небольшое благополучіе; токмо напротивъ того наноситъ имъ многія скуки и печали."
601,первыхъ,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Потомъ разными разсужденіями доказалъ я, что, во первыхъ слава есть такая вещь, которую получить трудно, а потерять можно весьма скоро."
602,первыхъ,,О славѣ (перевод с нем.),1759,перевод | рассуждение,"Во первыхъ, показалъ я причины, для чего Провидѣніе въ душу нашу вложило побужденіе къ дѣйствіямъ нашимъ? "
603,первый,К. Н. Леонтьев,Враги ли мы с греками?,1878,статья,В первый раз в этом случае дух православной покорности вступил в борьбу со свободой славянской крови...
604,первым,К. Н. Леонтьев,Враги ли мы с греками?,1878,статья,"Россия не Турция; Турции была выгодна распря греков с болгарами; для России эта распря была первым -- не вещественно, а духовно -- затруднительным делом на христианском Востоке."
605,второй,К. Н. Леонтьев,Враги ли мы с греками?,1878,статья,"Но отчего же эти самые греки, лишенные всякой помощи извне, без союзников, выдержали противу целой Турции двукратную борьбу, раз в течение восьми лет (от 1821 до 1829 года), второй раз трехлетнюю (от 1866 до 1869 года), а теперь у них союзниками верными -- Россия, Черногория, Румыния, Сербия, а могут быть и другие."
606,первыми,К. Н. Леонтьев,Враги ли мы с греками?,1878,статья,"Эти критяне, бившиеся так долго и так самоотверженно за свою свободу в шестидесятых годах, были первыми из христиан Востока, которые научили русское общество принимать живое участие в судьбе православных народностей, стремящихся освободиться от иноверной власти..."
607,шестидесятых,К. Н. Леонтьев,Враги ли мы с греками?,1878,статья,"Эти критяне, бившиеся так долго и так самоотверженно за свою свободу в шестидесятых годах, были первыми из христиан Востока, которые научили русское общество принимать живое участие в судьбе православных народностей, стремящихся освободиться от иноверной власти..."
608,третій,неизвестный,Православiе и государственность,1927,статья,Но развѣ «третій интернаціоналъ» есть политическая партія? 
609,третій,неизвестный,Православiе и государственность,1927,статья,"Нынѣ Россія изнемогаетъ въ третій разъ, порабощенная безвѣрнымъ и безбожнымъ, инороднымъ и международнымъ скопищемъ."
610,второй,неизвестный,Православiе и государственность,1927,статья,Святѣйшій Гермогенъ воззвалъ къ ней во второй разъ и вдохновилъ ее къ очищенію и возсоединенію.
611,первый,неизвестный,Православiе и государственность,1927,статья,Преподобный Сергій воззвалъ къ ней въ первый разъ и вдохновилъ ее къ освобожденiю.
612,первое,неизвестный,Православiе и государственность,1927,статья,Не митрополитъ ли Макарій ввелъ первое царское коронованіе? 
613,первое,неизвестный,Православiе и государственность,1927,статья,Въ словѣ «а-политична» -- первое «а» равносильно отрицанію (= не).
614,первой,[Н. М. Карамзин],Ревность,1802,повесть,"Ее брат и Граф были одни искренно веселы: первой от того, что Эдуард покупал замок его хорошею ценою, а другой верил жене, которая поутру сказала ему, что им будет очень весело в Лилиенвизе! "
615,первым,[Н. М. Карамзин],Ревность,1802,повесть,"Девица Розен, сидевшая подле невестки, сочла себя предметом его лестного внимания, воспользовалась первым случаем вступить с ним в разговор, и делала ему вопрос за вопросом."
616,первый,[Н. М. Карамзин],Ревность,1802,повесть,"Есьтли бы Эдуард сделался пленником Графини, то гордость скоро победила бы в ней склонность к нему; но она любила его до безумия от того, что он первый не хотел покориться ей и дал чувствовать ужасную муку ревности."
617,первом,[Н. М. Карамзин],Ревность,1802,повесть,"Может быть сердце и расчет вместе действовали в эту минуту: ибо переход от кокетства к любви никогда не бывает так скор, чтобы женщина при первом движении сердца могла оставить хитрости."
618,первый,[Н. М. Карамзин],Ревность,1802,повесть,"Графиня не обманулась, и чувствуя в первый раз, что не столько тщеславие, сколько ее сердце требует сей новой победы, она обнаружила более чувствительности, нежели искусства в немногих словах, сказанных ею Либергу; мало по малу приманила его к себе, и в разговорах с ним забыла всех других гостей."
619,первого,[Н. М. Карамзин],Ревность,1802,повесть,"Эдуард с первого взгляда ни мало не полюбил Графини, и в обхождении с нею изъявил единственно ту обыкновенную учтивость, которая не показывает ни малейшего желания нравиться."
620,первого,[Н. М. Карамзин],Ревность,1802,повесть,"Впрочем ее лицо, весьма правильное, могло только нравиться с первого взгляда; оно не имело той прелести, которую дает нежная чувствительность, и которая милее самой красоты, отвечая, так сказать, за характер и никогда не обманывая."
621,первом,,Вести,1914,информационное сообщение,"Вчера, в первом часу дня, в день убиения стрельцами боярина Артамона Матвеева, друга Алексея Михайловича, была отслужена по убиенному боярину панихида в церкви Николы на Столпах в Армянском пер."
622,Третий,Рюрик Ивнев,Дневник,1932,"дневник, записные книжки","Третий: «Нет, это он с землей прощается»."
623,Второй,Рюрик Ивнев,Дневник,1932,"дневник, записные книжки",Второй: «Кушать просит».
624,Первый,Рюрик Ивнев,Дневник,1932,"дневник, записные книжки",Первый грузчик: «Почему он пищит?» 
625,третий,Рюрик Ивнев,Дневник,1932,"дневник, записные книжки",Вот уже третий день здесь осенняя ленинградская погода.
626,четвертый,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,На четвертый день поднимаются на перевал (3 часа).
627,третий,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"На третий день совершают восхождение на Могуаширху, спускаются в долину Секена и вверх по ней идут до подъема на перевал Морды."
628,первый,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Если подниматься на Могуаширху с Узункольской поляны, до места ночевки в долинке под ледником Могуаширхи нужны 2 дня: первый день идут до ночевки у ледопада ледника Морды, второй день -- через перевал Морды в долину Секена и вниз по ней до первых хвойных деревьев."
629,первых,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Если подниматься на Могуаширху с Узункольской поляны, до места ночевки в долинке под ледником Могуаширхи нужны 2 дня: первый день идут до ночевки у ледопада ледника Морды, второй день -- через перевал Морды в долину Секена и вниз по ней до первых хвойных деревьев."
630,второй,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Если подниматься на Могуаширху с Узункольской поляны, до места ночевки в долинке под ледником Могуаширхи нужны 2 дня: первый день идут до ночевки у ледопада ледника Морды, второй день -- через перевал Морды в долину Секена и вниз по ней до первых хвойных деревьев."
631,третий,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,Утром на третий день часа за 4 можно вернуться обратно в Аджары.
632,второй,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Во второй половине лета колокол Могуаширхи чисто ледяной, и восхождение, вероятно, очень трудно."
633,второй,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"На второй день идут налево вверх к почти не имеющему Трещин леднику, обходя упомянутую группу вершин."
634,первый,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"В первый день можно пройти вверх по долине Секена до того места, где встречаются последние хвойные деревья (км 25)."
635,вторая,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,Главной из них является вторая.
636,первой,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,От первой вершины к остальным башням идет зубчатый гребешок.
637,третью,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Затем по такому же гребню за 0, 5 часа переходят на третью вершину."
638,первой,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Узункол, а затем идут вниз по тропе, и, перейдя по мостику ручей, доходят до первой поляны."
639,второй,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Видна только характерная притупленная пирамидальная предвершина, южный склон которой покрыт снегом, а во второй половине лета -- осыпями."
640,первых,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"С Узункольской поляны идут вниз по Узунколу до первых кошей. и от них по крутым травянистым склонам часа через 3, 5 легко подняться до зубьев."
641,первого,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,От Узункольской поляны идут вниз до первого коша по левому берегу р.
642,первой,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Спуск к первой зазубрине делают с правой стороны налево, тогда как вторую зазубрину при вылезании из нее надо брать слева направо."
643,вторую,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"Спуск к первой зазубрине делают с правой стороны налево, тогда как вторую зазубрину при вылезании из нее надо брать слева направо."
644,вторых,Б. Н. Делоне,Вершины Западного Кавказа,1938,путеводитель,"У вторых кошей сворачивают направо на травянистый склон, и, поднимаясь, траверсируют его в юго-западном направлении так, чтобы попасть в мульду между Пирамидами слева и Ак-баши справа."
