"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ил ястидохан ,оназаку автсежонм оготэ зи";"йывреп";"из этого множества указано, находится ли ";"первый";" ";"член этой пары в данном отношении";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"и для любой пары элементов из этого множества указано, находится ли первый член этой пары в данном отношении ко второму или нет (например, для каждой пары военнослужащих указано, является ли первый из них старшим по отношению ко второму; для каждой пары чисел указано, является ли первое из них меньшим, чем второе), причём из рассмотрения не исключаются пары, у которых первый и второй члены совпадают (так, для любой пары, составленной из совпадающих чисел, указано, что первый член пары не находится в отношении «меньше» ко второму; для любой пары, составленной из совпадающих геометрических фигур, указано, что первый член находится в отношении подобия ко второму)."
" и йывреп хыроток у ,ырап ястюачюлкси";"йоротв";"исключаются пары, у которых первый и ";"второй";" ";"члены совпадают (так, для любой пары";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"и для любой пары элементов из этого множества указано, находится ли первый член этой пары в данном отношении ко второму или нет (например, для каждой пары военнослужащих указано, является ли первый из них старшим по отношению ко второму; для каждой пары чисел указано, является ли первое из них меньшим, чем второе), причём из рассмотрения не исключаются пары, у которых первый и второй члены совпадают (так, для любой пары, составленной из совпадающих чисел, указано, что первый член пары не находится в отношении «меньше» ко второму; для любой пары, составленной из совпадающих геометрических фигур, указано, что первый член находится в отношении подобия ко второму)."
" удохдоп уморотв ок козилб амьсев увтсещус";"оговреп";"существу весьма близок ко второму подходу ";"первого";" ";"направления, поскольку в этом последнем обращение";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Сравнение с приведённой выше цитатой из А. Д. Мышкиса показывает, что этот второй подход второго направления по существу весьма близок ко второму подходу первого направления, поскольку в этом последнем обращение к понятию переменной величины является на самом деле совершенно необязательным."
" тотэ отч ,теавызакоп асикшыМ .Д .А";"йоротв";"А. Д. Мышкиса показывает, что этот ";"второй";" ";"подход второго направления по существу весьма";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Сравнение с приведённой выше цитатой из А. Д. Мышкиса показывает, что этот второй подход второго направления по существу весьма близок ко второму подходу первого направления, поскольку в этом последнем обращение к понятию переменной величины является на самом деле совершенно необязательным."
" дохдоп йоротв тотэ отч ,теавызакоп асикшыМ";"огоротв";"Мышкиса показывает, что этот второй подход ";"второго";" ";"направления по существу весьма близок ко";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Сравнение с приведённой выше цитатой из А. Д. Мышкиса показывает, что этот второй подход второго направления по существу весьма близок ко второму подходу первого направления, поскольку в этом последнем обращение к понятию переменной величины является на самом деле совершенно необязательным."
" ок козилб амьсев увтсещус оп яинелварпан";"уморотв";"направления по существу весьма близок ко ";"второму";" ";"подходу первого направления, поскольку в этом";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Сравнение с приведённой выше цитатой из А. Д. Мышкиса показывает, что этот второй подход второго направления по существу весьма близок ко второму подходу первого направления, поскольку в этом последнем обращение к понятию переменной величины является на самом деле совершенно необязательным."
" тнемелэ йыротокен ястеавызаку автсежонм огондо атнемелэ";"огоротв";"элемента одного множества указывается некоторый элемент ";"второго";", ";"приводят к потребности уточнить, что такое";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Попытки определить функцию как правило, или закон*, посредством которого для каждого элемента одного множества указывается некоторый элемент второго, приводят к потребности уточнить, что такое правило, или закон."
" огомеагалзи йеицартсномед йокря тижулс тскет йищюуделС";"оговреп";"Следующий текст служит яркой демонстрацией излагаемого ";"первого";" ";"подхода: «Описательно говоря, функция -- это когда";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Следующий текст служит яркой демонстрацией излагаемого первого подхода: «Описательно говоря, функция -- это когда каждому значению некоторой величины <..."
"";"йывреП";"";"Первый";" ";"подход характерен для руководств по общей";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первый подход характерен для руководств по общей теории функций и теории функций действительного переменного."
" ;ноказ или ,оливарп как юицкнуф теуткарт";"йитерт";"трактует функцию как правило, или закон; ";"третий";" -- ";"как соответствие.";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первый подход определяет не самое функцию, а лишь, так сказать, «функциональную ситуацию», т. е. ситуацию, при которой разрешено говорить, что имеет место функция; второй подход трактует функцию как правило, или закон; третий -- как соответствие."
"";"йывреП";"";"Первый";" ";"подход определяет не самое функцию, а";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первый подход определяет не самое функцию, а лишь, так сказать, «функциональную ситуацию», т. е. ситуацию, при которой разрешено говорить, что имеет место функция; второй подход трактует функцию как правило, или закон; третий -- как соответствие."
" ;яицкнуф отсем тееми отч ,ьтировог онешерзар";"йоротв";"разрешено говорить, что имеет место функция; ";"второй";" ";"подход трактует функцию как правило, или";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первый подход определяет не самое функцию, а лишь, так сказать, «функциональную ситуацию», т. е. ситуацию, при которой разрешено говорить, что имеет место функция; второй подход трактует функцию как правило, или закон; третий -- как соответствие."
" оготэ хакмар В";"огоротв";"В рамках этого ";"второго";" ";"направления можно опять-таки различить несколько подходов";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"В рамках этого второго направления можно опять-таки различить несколько подходов, а именно по меньшей мере три."
"";"еоротВ";"";"Второе";" ";"направление.";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Второе направление."
"";"йоротВ";"";"Второй";" ";"подход состоит в истолковании функции как";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Второй подход состоит в истолковании функции как закона, но также связанного с понятием переменной величины (и с разделением переменных величин на «зависимые» и «независимые»): «Закон (правило), по которому значениям независимых переменных отвечают (соответствуют) значения рассматриваемой зависимой переменной, называется функцией» *."
"";"йывреП";"";"Первый";" ";"подход состоит в истолковании функции как";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первый подход состоит в истолковании функции как переменной величины."
" ,адохдоп авд ьтиледыв онжом ьдеречо юовс";"йывреп";"свою очередь можно выделить два подхода, ";"первый";" ";"из которых (опять-таки более ранний и";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"В рамках данного направления в свою очередь можно выделить два подхода, первый из которых (опять-таки более ранний и, возможно, более распространённый) скорее соответствует точке зрения физиков, второй -- точке зрения математиков*."
" ,вокизиф яинерз екчот теувтстевтоос еерокс )йыннёнартсорпсар";"йоротв";"распространённый) скорее соответствует точке зрения физиков, ";"второй";" -- ";"точке зрения математиков*.";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"В рамках данного направления в свою очередь можно выделить два подхода, первый из которых (опять-таки более ранний и, возможно, более распространённый) скорее соответствует точке зрения физиков, второй -- точке зрения математиков*."
" оннемИ";"еовреп";"Именно ";"первое";" ";"направление отражено, например, во втором издании";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Именно первое направление отражено, например, во втором издании Большой советской энциклопедии (БСЭ-2), статья «Функция» * в которой начинается со следующей дефиниции: «Функция -- одно из основных понятий математики, выражающее зависимость одних переменных величин от других»."
" ов ,ремирпан ,онежарто еинелварпан еовреп оннемИ";"моротв";"Именно первое направление отражено, например, во ";"втором";" ";"издании Большой советской энциклопедии (БСЭ-2";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Именно первое направление отражено, например, во втором издании Большой советской энциклопедии (БСЭ-2), статья «Функция» * в которой начинается со следующей дефиниции: «Функция -- одно из основных понятий математики, выражающее зависимость одних переменных величин от других»."
"";"еовреП";"";"Первое";" ";"направление.";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое направление."
" ;ыничилев йоннемереп еитяноп ан ястеарипо и";"еоротв";"и опирается на понятие переменной величины; ";"второе";" -- ";"более современное и более точное -- не";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое направление -- исторически более раннее и, пожалуй, даже сейчас более распространённое -- ориентировано в основном на традиционно трактуемые технические и естественнонаучные приложения математики и опирается на понятие переменной величины; второе -- более современное и более точное -- не использует этого понятия вовсе (в то же время второе направление способно обслужить как все традиционные приложения математики, так и ещё много новых, возникших за последнее время)."
" ямерв еж от в( есвов яитяноп";"еоротв";"понятия вовсе (в то же время ";"второе";" ";"направление способно обслужить как все традиционные";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое направление -- исторически более раннее и, пожалуй, даже сейчас более распространённое -- ориентировано в основном на традиционно трактуемые технические и естественнонаучные приложения математики и опирается на понятие переменной величины; второе -- более современное и более точное -- не использует этого понятия вовсе (в то же время второе направление способно обслужить как все традиционные приложения математики, так и ещё много новых, возникших за последнее время)."
"";"еовреП";"";"Первое";" ";"направление -- исторически более раннее и, пожалуй";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое направление -- исторически более раннее и, пожалуй, даже сейчас более распространённое -- ориентировано в основном на традиционно трактуемые технические и естественнонаучные приложения математики и опирается на понятие переменной величины; второе -- более современное и более точное -- не использует этого понятия вовсе (в то же время второе направление способно обслужить как все традиционные приложения математики, так и ещё много новых, возникших за последнее время)."
" ан екйорт в ястиватс -- »атненопмок яанвалг";"еовреп";"главная компонента» -- ставится в тройке на ";"первое";" ";"место).";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"171 множество пар -- как «главная компонента» -- ставится в тройке на первое место)."
"( йетсалбо хитэ зи вотнемелэ рап овтсежонм";"йывреп";"множество пар элементов из этих областей (";"первый";" ";"член пары должен быть из области";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Поэтому соответствие естественно определить (как это и делается при уточнении этого понятия в математике) просто как тройку множеств: область отправления, область прибытия и некоторое множество пар элементов из этих областей (первый член пары должен быть из области отправления, а второй -- из области прибытия)."
" а ,яинелварпто итсалбо зи ьтыб нежлод";"йоротв";"должен быть из области отправления, а ";"второй";" -- ";"из области прибытия).";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Поэтому соответствие естественно определить (как это и делается при уточнении этого понятия в математике) просто как тройку множеств: область отправления, область прибытия и некоторое множество пар элементов из этих областей (первый член пары должен быть из области отправления, а второй -- из области прибытия)."
"";"еовреП";"";"Первое";" ";"из этих множеств называется областью отправления";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое из этих множеств называется областью отправления, а второе -- областью прибытия соответствия."
" а ,яинелварпто юьтсалбо ястеавызан втсежонм хитэ";"еоротв";"этих множеств называется областью отправления, а ";"второе";" -- ";"областью прибытия соответствия.";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Первое из этих множеств называется областью отправления, а второе -- областью прибытия соответствия."
" ытнемелэ еикат обил ,)4 еремирп в";"огоротв";"в примере 4), либо такие элементы ";"второго";" ";"множества указаны (как для чёрного цвета";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Соответствие, таким образом, предполагает наличие двух множеств (множества ростов и множества весов в первом примере, множества окончаний и множества существительных -- в предпоследнем), причём для каждого элемента первого множества либо не указано соответствующих ему элементов второго множества (как для зелёного цвета в примере 4), либо такие элементы второго множества указаны (как для чёрного цвета в том же примере)."
" в восев автсежонм и вотсор автсежонм";"мовреп";"множества ростов и множества весов в ";"первом";" ";"примере, множества окончаний и множества существительных";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Соответствие, таким образом, предполагает наличие двух множеств (множества ростов и множества весов в первом примере, множества окончаний и множества существительных -- в предпоследнем), причём для каждого элемента первого множества либо не указано соответствующих ему элементов второго множества (как для зелёного цвета в примере 4), либо такие элементы второго множества указаны (как для чёрного цвета в том же примере)."
" вотнемелэ уме хищюувтстевтоос оназаку ен обил";"огоротв";"либо не указано соответствующих ему элементов ";"второго";" ";"множества (как для зелёного цвета в";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Соответствие, таким образом, предполагает наличие двух множеств (множества ростов и множества весов в первом примере, множества окончаний и множества существительных -- в предпоследнем), причём для каждого элемента первого множества либо не указано соответствующих ему элементов второго множества (как для зелёного цвета в примере 4), либо такие элементы второго множества указаны (как для чёрного цвета в том же примере)."
" атнемелэ огоджак ялд мёчирп ,)менделсопдерп в";"оговреп";"в предпоследнем), причём для каждого элемента ";"первого";" ";"множества либо не указано соответствующих ему";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Соответствие, таким образом, предполагает наличие двух множеств (множества ростов и множества весов в первом примере, множества окончаний и множества существительных -- в предпоследнем), причём для каждого элемента первого множества либо не указано соответствующих ему элементов второго множества (как для зелёного цвета в примере 4), либо такие элементы второго множества указаны (как для чёрного цвета в том же примере)."
" еморк ,харемирп хитэ хесв оВ";"оговреп";"Во всех этих примерах, кроме ";"первого";", ";"компоненты кортежа, стоящие на разных местах";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"Во всех этих примерах, кроме первого, компоненты кортежа, стоящие на разных местах, могут и совпадать."
" ьтавызаку -- утоглод или уториш -- танидроок зи";"йовреп";"из координат -- широту или долготу -- указывать ";"первой";"); ";"";"В. А. Успенский. О понятиях «множество», «кортеж», «соответствие», «функция», «отношение» (2002)";"В. А. Успенский";"1930";"О понятиях «множество», «кортеж», «соответствие», «функция», «отношение»";"2002";"учебно-научная";"статья";"математика | наука и технологии";"В. А. Успенский. Труды по нематематике";"2002";"книга";"омонимия не снята";"бегунов нумеруют; договариваются, какую из координат -- широту или долготу -- указывать первой); "
